Date,Region,InflationRate
2021-05-01,Euro Area,2.0
2021-05-01,US,4.926466563983083
2021-06-01,Euro Area,1.9
2021-06-01,US,5.317418943207728
2021-07-01,Euro Area,2.2
2021-07-01,US,5.269167647240973
2021-08-01,Euro Area,3.0
2021-08-01,US,5.181323173271236
2021-09-01,Euro Area,3.4
2021-09-01,US,5.363523425270288
2021-10-01,Euro Area,4.1
2021-10-01,US,6.226591220771439
2021-11-01,Euro Area,4.9
2021-11-01,US,6.8655595202961965
2021-12-01,Euro Area,5.0
2021-12-01,US,7.159457345112467
2022-01-01,Euro Area,5.1
2022-01-01,US,7.578082463000531
2022-02-01,Euro Area,5.9
2022-02-01,US,7.949220898953991
2022-03-01,Euro Area,7.4
2022-03-01,US,8.540780148538593
2022-04-01,Euro Area,7.4
2022-04-01,US,8.235161744022502
2022-05-01,Euro Area,8.1
2022-05-01,US,8.530051713089216
2022-06-01,Euro Area,8.6
2022-06-01,US,8.9992981419231
2022-07-01,Euro Area,8.9
2022-07-01,US,8.447778206754556
2022-08-01,Euro Area,9.1
2022-08-01,US,8.216255059541258
2022-09-01,Euro Area,9.9
2022-09-01,US,8.205751582451754
2022-10-01,Euro Area,10.6
2022-10-01,US,7.7572614708094525
2022-11-01,Euro Area,10.1
2022-11-01,US,7.131380368978285
2022-12-01,Euro Area,9.2
2022-12-01,US,6.410831677385814
2023-01-01,Euro Area,8.6
2023-01-01,US,6.340296309929159
2023-02-01,Euro Area,8.5
2023-02-01,US,5.9576487127669004
2023-03-01,Euro Area,6.9
2023-03-01,US,4.931348641757137
2023-04-01,Euro Area,7.0
2023-04-01,US,4.946947488062322
2023-05-01,Euro Area,6.1
2023-05-01,US,4.125314539356468
2023-06-01,Euro Area,5.5
2023-06-01,US,3.0592533347793034
2023-07-01,Euro Area,5.3
2023-07-01,US,3.280328202346244
2023-08-01,Euro Area,5.2
2023-08-01,US,3.7186358677607543
2023-09-01,Euro Area,4.3
2023-09-01,US,3.695082332223437
2023-10-01,Euro Area,2.9
2023-10-01,US,3.246537507676727
2023-11-01,Euro Area,2.4
2023-11-01,US,3.139855644977691
2023-12-01,Euro Area,2.9
2023-12-01,US,3.322200208829757
2024-01-01,Euro Area,2.8
2024-01-01,US,3.1079425939238905
2024-02-01,Euro Area,2.6
2024-02-01,US,3.1664212076583187
2024-03-01,Euro Area,2.4
2024-03-01,US,3.4690014354717515
2024-04-01,Euro Area,2.4
2024-04-01,US,3.3540471111874264
2024-05-01,Euro Area,2.6
2024-05-01,US,3.238866396761138
2024-06-01,Euro Area,2.5
2024-06-01,US,2.9700853998204475
2024-07-01,Euro Area,2.6
2024-07-01,US,2.9384633061405263
2024-08-01,Euro Area,2.2
2024-08-01,US,2.610914032233828
2024-09-01,Euro Area,1.7
2024-09-01,US,2.432541464144649
2024-10-01,Euro Area,2.0
2024-10-01,US,2.5714034967967163
2024-11-01,Euro Area,2.2
2024-11-01,US,2.7141684004842865
2024-12-01,Euro Area,2.4
2024-12-01,US,2.87236626880658
2025-01-01,Euro Area,2.5
2025-01-01,US,2.999412512831117
2025-02-01,Euro Area,2.3
2025-02-01,US,2.8142703731568783
2025-03-01,Euro Area,2.2
2025-03-01,US,2.405585264028036
2025-04-01,Euro Area,2.2
2025-04-01,US,2.3337465177498933
